FID,Cause_of_Death,Latitude,Longitude,PointType,Slope,Elevation,Aspect,Rough,RelCont9am,RelCont2pm,RelCont6pm,DirecDurat,DiffuseRad,DirectRad,TotalSolar,MSAVI2,TotAveArid
0,Blunt Force Injury,31.33292,-110.96845,BodyLocation,2.791500092,1223.660034,153.227005,1.328609943,0.190591614,0,0,4.178569794,1586.849976,1261.699951,2848.550049,-0.080976457,0.230645001
2,Blunt Force Injury,31.33299,-110.94197,BodyLocation,1.45788002,1180.23999,100.6699982,0.736938,0.206290441,0,0,4.178569794,958.25,1277.880005,2236.129883,-0.337493419,0.223556995
4,Blunt Force Injury,31.3331,-110.94007,BodyLocation,1.17414999,1177.839966,294.4909973,0.478394002,0,0.052602881,0.179293534,14.10849953,1991.430054,4684.450195,6675.890137,-0.275218909,0.223556995
6,,31.33375277,-110.3559291,RandomLocation,3.339849949,1605.810059,249.654007,1.567870021,0,0.079840822,0.170412449,3.450000048,1347.189941,1404.949951,2752.139893,0.022306682,0.309071004
8,Blunt Force Injury,31.33415,-110.11293,BodyLocation,6.033569813,1333.050049,97.73899841,2.42711997,0.206524778,0,0,14.10849953,2102.929932,6077.580078,8180.509766,-0.133263689,0.249014005
10,Exposure,31.334397,-110.96816,BodyLocation,0.757187009,1234.579956,219.4389954,0.403687,0,0.13570304,0.148127735,2.637500048,1084.040039,749.0289917,1833.069946,-0.066874675,0.230645001
12,,31.33616962,-110.0411564,RandomLocation,1.533370018,1373.920044,281.6830139,0.661742985,0,0.059285027,0.177117121,14.10849953,1997.51001,6074.22998,8071.72998,-0.009851739,0.247085005
14,Gunshot Wound,31.336872,-110.6447,BodyLocation,1.06843996,1455.25,108.625,0.715942025,0.205839026,0,0,14.10849953,2108.899902,6052.060059,8160.959961,-0.069551196,0.257077008
16,,31.3370403,-110.7944902,RandomLocation,6.911099911,1226.130005,197.8220062,3.124150038,0,0.213669704,0.001028835,14.10849953,2104.409912,2468.399902,4572.799805,-0.188877241,0.226842999
18,,31.33778506,-110.8719438,RandomLocation,15.39070034,1191.390015,171.4960022,7.333370209,0.093191538,0.089426521,0,13.85849953,2057.409912,2158.600098,4216.009766,-0.071666179,0.232274994
20,,31.33816339,-110.1259589,RandomLocation,1.026029944,1320.810059,340.2969971,0.463135004,0,0.002176368,0.188961284,12.96959972,2078.360107,2727.75,4806.109863,0.455106871,0.236635
22,Undetermined,31.3383,-111.0022,BodyLocation,18.20260048,1296.410034,171.1349945,7.256959915,0.082997001,0.097194187,0,13.85849953,1952.959961,986.9860229,2939.949951,-0.057749693,0.244931996
24,Undetermined,31.33915,-109.549239,BodyLocation,0.949671984,1215.640015,322.9060059,0.485107005,0,0.029214448,0.184742179,3.137500048,304.9670105,772.0339966,1077,0.272614412,0.188832998
26,,31.339868,-110.947472,BodyLocation,13.19250011,1198.670044,167.0630035,5.748050213,0.14737167,0.03917009,0,14.10849953,2115.159912,1711.380005,3826.540039,-0.090411185,0.224967003
28,Undetermined,31.34037,-110.93425,BodyLocation,0.932192981,1167.930054,43.48419952,0.45422399,0.207436359,0,0,14.10849953,2036.859985,4414.240234,6451.089844,-0.152833767,0.224967003
30,Exposure,31.3407,-111.0416,BodyLocation,22.65279961,1389.439941,138.3990021,12.18809986,0.200745589,0,0,13.20849991,1893.300049,3444.51001,5337.810059,0.007782337,0.279644996
32,Exposure,31.34122,-110.90572,BodyLocation,11.10630035,1217.390015,181.7850037,4.72510004,0,0.19587155,0,12.56089973,1947.189941,728.8289795,2676.02002,-0.144494463,0.232274994
34,Skeletal Remains,31.342007,-109.630498,BodyLocation,1.637189984,1222.420044,120.7450027,0.729979992,0.20542527,0,0,12.0710001,1409.219971,2553.860107,3963.070068,-0.117261729,0.179683998
36,Skeletal Remains,31.34262,-110.99307,BodyLocation,9.657030106,1249.819946,201.6069946,5.121220112,0,0.185565242,0.072825421,14.10849953,2045.849976,3247.080078,5292.939941,0.092085689,0.217619002
38,,31.342666,-110.966775,BodyLocation,1.373070002,1236.140015,36.37519836,1.256839991,0.184958302,0,0,14.10849953,1981.640015,2344.959961,4326.600098,-0.501562485,0.217619002
40,,31.34320703,-109.5329154,RandomLocation,0.488175988,1235.060059,299.8439941,0.238159001,0,0.04709006,0.181066494,12.27910042,1786.920044,5236.069824,7022.990234,-0.224530285,0.204990998
42,Undetermined,31.34503,-109.65946,BodyLocation,0.515397012,1241.609985,143.8890076,0.267089993,0.197659055,0,0,11.6960001,1014.299988,3320.280029,4334.589844,-0.154474095,0.179683998
44,Blunt Force Injury,31.345867,-110.946182,BodyLocation,1.861430049,1181.48999,308.1359863,1.026370049,0,0.040825928,0.182939178,14.10849953,2113.850098,3428.25,5542.089844,-0.092117925,0.224967003
46,,31.34630998,-109.401434,RandomLocation,12.98499966,1353.300049,140.802002,6.740970135,0.199804246,0,0,14.10849953,2103.290039,5036.200195,7139.490234,0.017779183,0.221544996
48,Undetermined,31.346883,-110.13665,BodyLocation,3.313940048,1296.449951,288.0570068,1.45678997,0,0.055728577,0.178285497,14.10849953,2058.560059,6149.040039,8207.610352,-1.128499608,0.236635
50,Exposure,31.34813,-110.13821,BodyLocation,0.257744998,1300.430054,83.91870117,0.106934004,0.206993271,0,0,14.10849953,2100.899902,6104.709961,8205.610352,-0.102796759,0.236635
52,Exposure,31.3484,-110.8907,BodyLocation,5.418570042,1220.160034,13.13230038,2.951900005,0.155131389,0,0,14.10849953,2041.349976,4373.129883,6414.47998,-0.035236821,0.232274994
54,Exposure,31.349884,-109.555,BodyLocation,0.460705996,1214.640015,210.4519958,0.227051005,0,0.138927849,0.146573339,2.444439888,1551.97998,686.1699829,2238.149902,-0.756455008,0.188832998
56,Skeletal Remains,31.350967,-109.509383,BodyLocation,0.560751021,1259.400024,274.0360107,0.235229,0,0.063514931,0.17571198,11.85849953,1576.640015,5102.560059,6679.200195,-0.00615373,0.204990998
58,Exposure,31.35175,-110.9101,BodyLocation,10.16759968,1204.550049,183.9550018,4.175419807,0.167794105,0.017814142,0,14.10849953,2081.590088,1236.949951,3318.540039,0.047789365,0.232274994
60,Exposure,31.352167,-110.89,BodyLocation,15.75510025,1195.380005,332.8280029,6.887080193,0,0.025750193,0.18530277,14.10849953,2083.870117,2591.969971,4675.839844,0.134809189,0.232274994
62,,31.35345941,-110.6073249,RandomLocation,1.755349994,1428.630005,1.971109986,0.646728992,0.04078855,0,0.119130266,14.10849953,1976.910034,2343.449951,4320.350098,-0.062205025,0.248144001
64,Skeletal Remains,31.354017,-110.989383,BodyLocation,25.62949944,1251.569946,0.915475011,10.29220009,0.025716788,0,0.132419328,14.10849953,1963.72998,2332.350098,4296.080078,0.040167122,0.217619002
66,Exposure,31.355,-110.91106,BodyLocation,7.24462986,1207.369995,153.7619934,3.475219965,0.19971254,0,0,14.10849953,1965.680054,3834.120117,5799.799805,-0.036895346,0.232274994
68,Undetermined,31.35535,-110.89523,BodyLocation,3.56437993,1199.369995,352.3160095,2.320919991,0,0,0.166758152,14.10849953,2108.76001,2834.080078,4942.830078,-0.06270407,0.232274994
70,,31.35616579,-111.0533864,RandomLocation,16.71529961,1387.709961,173.4190063,6.870610237,0.066024266,0.110135516,0,13.15849972,2022.599976,866.4439697,2889.040039,-0.09821177,0.279644996
72,,31.35643689,-109.8113488,RandomLocation,20.21730042,1469.5,337.6080017,9.749389648,0,0.007828031,0.188104238,14.10849953,2112.860107,2923.540039,5036.399902,-0.009949756,0.188925996
74,,31.3577261,-111.0000813,RandomLocation,17.71829987,1199.079956,334.0809937,8.627559662,0,0.013549131,0.187209992,14.10849953,2085.149902,3960.070068,6045.220215,0.406513851,0.244931996
76,Exposure,31.35874,-109.73311,BodyLocation,0.926864982,1288.430054,78.43849945,0.400512993,0.2071904,0,0,12.3210001,1811.310059,4822.919922,6634.22998,-0.007604343,0.182071999
78,,31.36035067,-109.9363223,RandomLocation,0.851315975,1415.859985,202.0910034,0.402832001,0,0.18485191,0.074452473,4.012499809,1788.469971,900.7050171,2689.179932,-0.080295392,0.195390001
80,Exposure,31.360517,-110.969983,BodyLocation,2.986210108,1210.26001,191.7279968,2.189209938,0,0.229327094,0,14.10849953,2113.679932,6007.700195,8121.379883,-0.098725322,0.217619002
82,Exposure,31.36113,-110.81322,BodyLocation,1.43374002,1209.040039,247.7660065,0.672484994,0,0.082760021,0.169448979,0.325397015,34.00439835,100.9670029,134.9720001,-0.203758754,0.231169
84,Skeletal Remains,31.3616,-110.9987,BodyLocation,0.920372009,1187.5,35.03540039,0.455321997,0.205357554,0,0,14.10849953,2056.189941,2461.02002,4517.209961,-0.062241735,0.244931996
86,Exposure,31.362569,-110.97229,BodyLocation,4.856410027,1190.930054,300.7749939,2.603640079,0,0.046941865,0.181156164,14.10849953,1989.319946,5016.560059,7005.879883,-0.079976741,0.217619002
88,,31.3630389,-109.978047,RandomLocation,1.705870032,1398.420044,198.8070068,0.771117985,0,0.199331717,0.0400419,12.50139999,1961.349976,1520.810059,3482.159912,0.022306682,0.210286006
90,,31.36456993,-110.8276419,RandomLocation,3.53757,1168.680054,230.4100037,1.804200053,0,0.103514954,0.162680947,14.10849953,2075.600098,4725.100098,6800.700195,0.332529154,0.231169
92,Exposure,31.365315,-110.102389,BodyLocation,1.093119979,1314.589966,339.3569946,0.502440989,0,0.004079401,0.188666235,14.10849953,2099.419922,2704.399902,4803.819824,0.04834543,0.226882994
94,,31.36538163,-109.3652514,RandomLocation,2.006710052,1263.619995,95.23179626,0.779663026,0.206589587,0,0,11.6960001,1132.810059,4974.859863,6107.680176,-0.064240454,0.201215997
96,,31.36558984,-110.2722372,RandomLocation,30.70999908,2035.859985,62.37279892,16.55039978,0.20812094,0,0,14.10849953,1976.319946,5518.359863,7494.680176,-0.165594356,0.34830299
98,,31.36574132,-110.9027662,RandomLocation,6.241149902,1206.670044,28.21579933,3.173830032,0.106773789,0,0.042152123,14.10849953,1981.219971,4741.220215,6722.439941,-0.418657201,0.232274994
100,Skeletal Remains,31.36597,-111.006893,BodyLocation,3.614530087,1225.609985,139.6820068,2.442869902,0.203139531,0,0,14.10849953,2103.23999,2491.889893,4595.140137,-0.028877856,0.244931996
102,,31.36656786,-110.8809189,RandomLocation,3.710050106,1172.640015,175.8220062,1.823240042,0.026144483,0.137911696,0,14.10849953,2072.51001,2974.580078,5047.080078,-0.007967875,0.232274994
104,Skeletal Remains,31.367521,-110.929857,BodyLocation,0.797308028,1139.26001,46.78099823,1.500609994,0.208686019,0,0,14.10849953,2117.939941,5919.819824,8037.759766,0.050263952,0.224967003
106,Exposure,31.367954,-110.80745,BodyLocation,2.496000051,1222.359985,325.45401,1.217650056,0,0.025536847,0.185329368,14.10849953,2094.560059,3837.790039,5932.350098,-0.105539183,0.231169
108,,31.36852485,-109.1443576,RandomLocation,21.36750031,1345.349976,341.1860046,10.47290039,0,0.006231016,0.188353877,13.87930012,2116.350098,3279.73999,5396.089844,-0.068269947,0.196351007
110,Exposure,31.369114,-110.992961,BodyLocation,3.320300102,1186.869995,98.94210052,1.647089958,0.206393986,0,0,14.10849953,2013.670044,6154.759766,8168.430176,0.163914225,0.217619002
112,Exposure,31.369409,-110.989541,BodyLocation,0.75880897,1165.839966,48.24430084,0.374267995,0.208451578,0,0,14.10849953,2004.51001,4619.649902,6624.160156,0.244411912,0.217619002
114,Drowning,31.370662,-110.931653,BodyLocation,0.153061002,1141.530029,271.178009,0.119994998,0,0.066531637,0.174624025,14.10849953,2117.199951,2970.419922,5087.620117,-0.577605889,0.224967003
116,Skeletal Remains,31.3711,-109.47751,BodyLocation,3.026390076,1291.609985,214.5850067,1.459229946,0,0.216764095,0,14.10849953,2087.790039,4834.859863,6922.649902,-0.019932235,0.217610002
118,Drowning,31.37192,-110.931428,BodyLocation,1.18987,1138.01001,234.3139954,0.869629025,0,0.097510798,0.16462797,14.10849953,1998.150024,4149.72998,6147.879883,-0.114434023,0.224967003
120,Undetermined,31.373056,-110.866944,BodyLocation,15.46679974,1178.52002,9.384140015,6.547120094,0.083091886,0,0.072426967,14.10849953,2111.969971,2903.919922,5015.890137,0.216397018,0.227182999
122,Exposure,31.37335,-110.88372,BodyLocation,12.28009987,1243.719971,65.62220001,5.90955019,0.207947601,0,0,14.10849953,2073.469971,5475.819824,7549.290039,-0.091775663,0.232274994
124,,31.37548948,-109.4247736,RandomLocation,14.94709969,1713.52002,72.623703,9.437870026,0.20754774,0,0,8.18076992,1970.949951,956.1040039,2927.050049,-0.05712421,0.250999004
126,Exposure,31.37623,-110.00962,BodyLocation,0.524482012,1371.030029,308.8640137,0.296875,0,0.044274078,0.181990286,13.02519989,1713.75,3206.5,4920.240234,-0.407920447,0.225756004
128,,31.378123,-110.938215,BodyLocation,0.49427399,1130.349976,7.505380154,0.202025995,0.086143458,0,0.06925218,14.10849953,1985.609985,4742.660156,6728.27002,0.675365232,0.224967003
130,Exposure,31.379189,-110.893134,BodyLocation,6.742199898,1174.589966,248.2019958,3.318480015,0,0.085544065,0.168553759,14.10849953,2091.290039,4883.359863,6974.649902,-0.10975668,0.227643996
132,Skeletal Remains,31.379298,-111.003317,BodyLocation,4.033919811,1194.569946,149.2339935,1.855829954,0.195278491,0,0,14.10849953,1991.890015,4107.149902,6099.040039,0.021507034,0.238694996
134,Exposure,31.38,-110.045,BodyLocation,2.683150053,1340.650024,8.316980362,1.067989945,0.032783906,0,0.126190141,13.64420033,2052.629883,2448.850098,4501.490234,-0.396740334,0.215687007
136,Drowning,31.3807,-110.9426,BodyLocation,3.593470097,1126.130005,19.76889992,1.399289966,0.113198007,0,0.033486193,14.10849953,1959.599976,2332.780029,4292.379883,0.027121137,0.235584006
138,Exposure,31.3815,-109.716,BodyLocation,0.760219991,1263.650024,167.8379974,0.335938007,0.146812315,0.040131612,0,14.10849953,2028.359985,3413.810059,5442.180176,-0.104881966,0.179747
140,Exposure,31.382222,-111.011111,BodyLocation,7.457220078,1246.329956,102.1989975,4.049320221,0.206233032,0,0,14.10849953,2014.459961,6043.080078,8057.540039,-0.033441076,0.238694996
142,Undetermined,31.3838,-110.83945,BodyLocation,3.762120008,1128.099976,250.1000061,1.744259953,0,0.094635623,0.16558028,14.10849953,2106.669922,5081.669922,7188.339844,0.443465064,0.228879005
144,Exposure,31.384382,-110.975182,BodyLocation,7.631110191,1138.430054,152.4680023,3.783689976,0.191757044,0,0,14.10849953,2113.860107,2166.439941,4280.310059,0.213685628,0.226178005
146,,31.38526876,-109.9268515,RandomLocation,1.684780002,1476.699951,167.5240021,0.736572027,0.140667962,0.046343842,0,3.37857008,1804.719971,763.2650146,2567.97998,-0.053221169,0.225803003
148,,31.38595881,-109.6143314,RandomLocation,0.481599987,1212.880005,69.63819885,0.203003004,0.207588702,0,0,13.73349953,1901.069946,6039.149902,7940.22998,-0.134619117,0.184723005
150,,31.38611005,-110.0666829,RandomLocation,1.207509995,1324.619995,174.8439941,0.483765006,0.032736681,0.133910799,0,14.10849953,1986.52002,982.2379761,2968.76001,0.016195394,0.215687007
152,,31.38661917,-111.1272204,RandomLocation,13.39960003,1302.469971,136.246994,7.085209846,0.202161016,0,0,14.10849953,2093.959961,4916.919922,7010.879883,-0.016063221,0.360314995
